Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches\
537,Federico Valverde\\Federico-Valverde,uy URU,MF,Real Madrid,21,1998,33,21,1907,21.2,2,5,2,0,0,1,0,0.09,0.24,0.33,0.09,0.33,1.9,1.9,3.5,5.3,0.09,0.16,0.25,0.09,0.25,Matches\
538,Rapha\'ebl Varane\\Raphael-Varane,fr FRA,DF,Real Madrid,26,1993,32,32,2822,31.4,3,1,3,0,0,2,0,0.1,0.03,0.13,0.1,0.13,0.7,0.7,0.5,1.2,0.02,0.02,0.04,0.02,0.04,Matches\
539,Mat\'edas Vargas\\Matias-Vargas,ar ARG,FWMF,Espanyol,22,1997,21,10,1024,11.4,0,3,0,0,0,1,0,0,0.26,0.26,0,0.26,1,1,2.5,3.5,0.09,0.22,0.31,0.09,0.31,Matches\
540,Franco V\'e1zquez\\Franco-Vazquez,ar ARG,MFFW,Sevilla,30,1989,31,11,1098,12.2,3,0,3,0,0,5,0,0.25,0,0.25,0.25,0.25,1.4,1.4,0.4,1.7,0.11,0.03,0.14,0.11,0.14,Matches\
541,Kevin V\'e1zquez\\Kevin-Vazquez,es ESP,DF,Celta Vigo,26,1993,17,16,1325,14.7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.4,0.4,0,0.02,0.02,0,0.02,Matches\
542,Lucas V\'e1zquez\\Lucas-Vazquez,es ESP,MFFW,Real Madrid,28,1991,18,8,848,9.4,2,1,2,0,0,1,0,0.21,0.11,0.32,0.21,0.32,1.2,1.2,1.5,2.7,0.13,0.16,0.29,0.13,0.29,Matches\
543,Koke Vegas\\Koke-Vegas,es ESP,GK,Levante,23,1995,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches\
544,Unai Vencedor Paris\\Unai-Vencedor-Paris,es ESP,MF,Athletic Club,18,2000,1,1,73,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.08,0,0.08,0.08,0.08,Matches\
545,Mikel Vesga\\Mikel-Vesga,es ESP,MF,Athletic Club,26,1993,20,13,1269,14.1,0,1,0,0,0,3,0,0,0.07,0.07,0,0.07,0.8,0.8,0.7,1.4,0.05,0.05,0.1,0.05,0.1,Matches\
546,R\'faben Vezo\\Ruben-Vezo,pt POR,DF,Levante,25,1994,29,29,2610,29,0,0,0,0,0,4,0,0,0,0,0,0,0.9,0.9,0.6,1.5,0.03,0.02,0.05,0.03,0.05,Matches\
